english_full,last_reviewed,next_review_date,correct_streak,total_correct,total_incorrect
I waited on a bench in the __hallway__.,2025-07-27,2025-08-12,4,4,0
The teacher did not have enough __handouts__ for everyone in class.,2025-07-27,2025-08-12,4,4,0
"At the __height__ of his wealth, his assets topped 10 billion dollars.",2025-07-27,2025-08-28,5,5,0
Management and __labor__ have different views in regard to overtime compensation.,2025-07-27,2025-08-12,4,4,0
My __neighbor__ left a sack of oranges at my door.,2025-07-27,2025-08-12,4,4,0
His speech __patterns__ show that he is originally from the south.,2025-07-27,2025-08-28,5,5,0
Your top __priority__ should be regaining your health.,2025-07-27,2025-08-12,4,4,0
We sat in the __shade__ to avoid the sunlight.,2025-07-27,2025-08-12,4,4,0
The station has received a large __volume__ of calls protesting the recent broadcast.,2025-07-27,2025-08-12,4,4,0
The professor has won several awards for __achievements__ in cellular research.,2025-07-27,2025-08-12,4,4,0
That store is already adorned with holiday __decorations__.,2025-07-27,2025-08-12,4,4,0
The flight is scheduled for __departure__ at 1:00 p.m.,2025-07-27,2025-08-12,4,4,0
"For Father's Day,  my daughter gave me a __drawing__ of our family.",2025-07-27,2025-08-04,3,3,0
"I was asked to be a __judge__ at the beauty contest, but declined.",2025-07-27,2025-07-28,0,4,1
Our office __receptionist__ is fluent in three languages.,2025-07-27,2025-08-12,4,4,0
Doctors have long noted the __relationship__ between smoking and cancer.,2025-07-27,2025-08-12,4,4,0
The collision bent the front __wheel__ of my bicycle.,2025-07-27,2025-08-12,4,4,0
His explanation does not __match__ the facts of the case.,2025-07-27,2025-08-12,4,4,0
I __borrowed__ an eraser from the student next to me.,2025-07-27,2025-08-12,4,4,0
I always __compare__ prices when shopping for household appliances.,2025-07-27,2025-08-12,4,4,0
The storm caused __floods__ and landslides throughout the country.,2025-07-27,2025-07-29,1,1,0
I __wonder__ how long the movie will last.,2025-07-27,2025-08-28,5,5,0
The town was born when gold was __discovered__ by the river.,2025-07-27,2025-08-12,4,4,0
"If I can't __earn__ more money, I'll have to move to a cheaper place.",2025-07-27,2025-07-31,2,3,1
Here it is common to __greet__ people with a kiss on the cheek.,2025-07-27,2025-08-12,4,4,0
Someone needs to __gather__ wood for our campfire.,2025-07-27,2025-08-12,4,4,0
"At the orchard, we always __separate__ apples according to size.",2025-07-27,2025-08-28,5,5,0
This institute was __founded__ by wealthy individuals interested in industrial safety.,2025-07-27,2025-08-12,4,4,0
The size of the harvest __depends__ on the amount of rainfall.,2025-07-27,2025-08-12,4,4,0
I am not so skillful at __folding__ an omelet.,2025-07-27,2025-08-04,3,3,0
The coach __praised__ me for my unselfish play.,2025-07-27,2025-08-12,4,4,0
His temper __rises__ quickly whenever he gets frustrated.,2025-07-27,2025-08-12,4,4,0
My father tries to __avoid__ eating salty foods.,2025-07-27,2025-08-04,3,3,0
"If you can __decrease__ calories while increasing exercise, you will lose weight.",2025-07-27,2025-07-31,2,4,1
His laundry was __hung__ on a pole on his balcony.,2025-07-27,2025-08-12,4,4,0
He told me that he has no plans to __retire__.,2025-07-27,2025-08-12,4,4,0
You will never __achieve__ your dreams unless you practice more.,2025-07-27,2025-07-29,1,3,2
She __claims__ that she lost 10 pounds in one week.,2025-07-27,2025-08-12,4,4,0
I haven't been able to __connect__ to the Internet all morning.,2025-07-27,2025-08-12,4,4,0
You have to __gain__ a dog's trust before you can train it.,2025-07-27,2025-07-31,2,3,1
I didn't __realize__ he was absent until I collected the homework.,2025-07-27,2025-07-31,2,3,1
I __used to__ walk to work but now I go by bicycle.,2025-07-27,2025-08-12,4,4,0
"People always __complain__ about the weather, but it doesn't do any good.",2025-07-27,2025-08-12,4,4,0
She __decorated__ her kitchen with photos of her grandchildren.,2025-07-27,2025-08-28,5,5,0
My junior high English teacher __inspired__ me to be a writer.,2025-07-27,2025-08-28,5,5,1
"I __packed__ my bag, but put in the wrong textbook.",2025-07-27,2025-08-12,4,4,0
I was __pushed__ from behind by another passenger boarding the train.,2025-07-27,2025-08-12,4,4,0
Anyone wishing to join the dinner should __reply__ to this mail by 5 P.M.,2025-07-27,2025-08-12,4,4,0
"Before you repair the sink, be sure to __shut__ __off__ the water supply.",2025-07-27,2025-08-12,4,4,0
She and I often __chat__ about our high school days.,2025-07-27,2025-08-28,5,5,0
I __lack__ the patience to be a good cook.,2025-07-27,2025-07-31,2,3,1
Misunderstandings typically __occur__ due to unclear or infrequent communication.,2025-07-27,2025-08-12,4,4,0
We placed the birdhouse high to __protect__ the birds from cats.,2025-07-27,2025-08-12,4,4,0
She __succeeded__ in passing the exam for law school.,2025-07-27,2025-08-12,4,4,0
"Last summer, our hospital __treated__ 50 people for heatstroke.",2025-07-27,2025-08-12,4,4,0
"Once I __master__ French cooking, I plan to open my own restaurant.",2025-07-27,2025-08-12,4,4,0
