english,japanese
I waited on a bench in the __hallway__.,私は__廊下__のベンチで待った。
The teacher did not have enough __handouts__ for everyone in class.,先生は、クラス全員分の__プリント__を持っていなかった。
"At the __height__ of his wealth, his assets topped 10 billion dollars.",富が__絶頂期__だったとき、彼の資産は100億ドルを超えていた。
Management and __labor__ have different views in regard to overtime compensation.,経営者と__労働者__は、残業手当に関して異なった見解を持っている。
My __neighbor__ left a sack of oranges at my door.,__隣人__は、わが家の玄関にオレンジを１袋置いていった。
His speech __patterns__ show that he is originally from the south.,彼の話し__方__から、彼は元々南部の出身だとわかる。
Your top __priority__ should be regaining your health.,あなたの最__優先事項__は、健康を取り戻すことだ。
We sat in the __shade__ to avoid the sunlight.,私たちは日光を避けるために__日陰__に座った。
The station has received a large __volume__ of calls protesting the recent broadcast.,その放送局は、最近の放送内容に関する__大量__の抗議電話を受けた。
The professor has won several awards for __achievements__ in cellular research.,その教授は、細胞の研究における__功績__でいくつかの賞を受賞した。
That store is already adorned with holiday __decorations__.,あの店はすでに年末年始の__飾り__が付けられている。
The flight is scheduled for __departure__ at 1:00 p.m.,この飛行機の便は午後１時に__出発__予定だ。
"For Father's Day,  my daughter gave me a __drawing__ of our family.",父の日のために、娘は私に家族の__絵__をプレゼントした。
"I was asked to be a __judge__ at the beauty contest, but declined.",美人コンテストの__審査員__を頼まれたが、断った。
Our office __receptionist__ is fluent in three languages.,わが社の__受付係__は３カ国語に堪能だ。
Doctors have long noted the __relationship__ between smoking and cancer.,医師たちは、喫煙とがんの__関係__を長年指摘している。
The collision bent the front __wheel__ of my bicycle.,衝突によって、私の自転車の前の__車輪__が曲がった。
His explanation does not __match__ the facts of the case.,彼の説明は、この事件の事実と__一致__しない。
I __borrowed__ an eraser from the student next to me.,私は隣にいた生徒に消しゴム__を借りた__。
I always __compare__ prices when shopping for household appliances.,家電製品を購入するときはいつも価格を__比較__する。
The storm caused __floods__ and landslides throughout the country.,その嵐は全国で__洪水__と地滑りを引き起こした。
I __wonder__ how long the movie will last.,この映画はどのくらいの長さな__のだろうか__。
The town was born when gold was __discovered__ by the river.,この町は、川沿いで金が__発見__されたときに生まれた。
"If I can't __earn__ more money, I'll have to move to a cheaper place.",もっとお金を__稼げ__なければ、より安い場所に引っ越さなければならない。
Here it is common to __greet__ people with a kiss on the cheek.,ここでは、ほおにキスをして人に__あいさつ__するのは一般的だ。
Someone needs to __gather__ wood for our campfire.,誰かがキャンプファイヤー用のまきを__集め__ないといけない。
"At the orchard, we always __separate__ apples according to size.",果樹園では、私たちはいつも大きさにによってリンゴを__選別__している。
This institute was __founded__ by wealthy individuals interested in industrial safety.,この協会は、労働安全に関心を持つ裕福な人々によって__設立__された。
The size of the harvest __depends__ on the amount of rainfall.,収穫量は、降水量に__左右される__。
I am not so skillful at __folding__ an omelet.,私はオムレツを上手に__巻く__ことができない。
The coach __praised__ me for my unselfish play.,コーチは、私の利己的でないプレーを__ほめてくれた__。
His temper __rises__ quickly whenever he gets frustrated.,彼はイライラすると、すぐに感情が__高まる__。
My father tries to __avoid__ eating salty foods.,私の父は塩辛い食べ物を__避ける__ようにしている。
"If you can __decrease__ calories while increasing exercise, you will lose weight.",運動量を増やしながら、カロリーを__減らす__ことができれば、体重は減る。
His laundry was __hung__ on a pole on his balcony.,彼の洗濯物は、ベランダの物干しざおに__つるされ__ていた。
He told me that he has no plans to __retire__.,彼は__退職__するつもりはないと私に話した。
You will never __achieve__ your dreams unless you practice more.,もっと練習しない限り、絶対__に夢をかなえる__ことはできないだろう。
She __claims__ that she lost 10 pounds in one week.,彼女は１週間で10ポンド__減量した__と__主張__している。
I haven't been able to __connect__ to the Internet all morning.,午前中ずっとインターネットに__接続__することができない。
You have to __gain__ a dog's trust before you can train it.,あなたは犬を訓練する前に犬の信頼を__得る__必要がある。
I didn't __realize__ he was absent until I collected the homework.,宿題を回収するまで、彼が欠席していることに__気付かなかった__。
I __used to__ walk to work but now I go by bicycle.,__以前はよく__徒歩で通勤していたが、今は自転車で通っている。
"People always __complain__ about the weather, but it doesn't do any good.",人々はいつも天気について__文句を言う__が、どうにかなるものではない。
She __decorated__ her kitchen with photos of her grandchildren.,彼女は孫たちの写真でキッチンを__飾った__。
My junior high English teacher __inspired__ me to be a writer.,中学校の英語の先生に__触発__されて、私は作家になりたいと思うようになった。
"I __packed__ my bag, but put in the wrong textbook.",バッグに入れたのだが、間違った教科書を__入れて__しまった。
I was __pushed__ from behind by another passenger boarding the train.,私は電車に乗ってきた別の乗客に後ろから__押された__。
Anyone wishing to join the dinner should __reply__ to this mail by 5 P.M.,夕食会に参加したい人は、午後５時までにこのメールに__返信__してください。
"Before you repair the sink, be sure to __shut__ __off__ the water supply.",流し台を修理する前に、必ず水道の元栓を__閉める__ように。
She and I often __chat__ about our high school days.,私と彼女は、高校時代のことについてよく__おしゃべりする__。
I __lack__ the patience to be a good cook.,私は良い料理人になるための__辛抱強さ__に欠けている。
Misunderstandings typically __occur__ due to unclear or infrequent communication.,誤解というのは一般的に__あいまいな__、あるいは、ほとんどないコミュニケーションによって__生じる__。
We placed the birdhouse high to __protect__ the birds from cats.,私たちは鳥を猫から__守る__ために、巣箱を高い位置に設置した。
She __succeeded__ in passing the exam for law school.,彼女は法科大学院の試験に__首尾よく合格__した。
"Last summer, our hospital __treated__ 50 people for heatstroke.",昨年の夏、当病院は熱中症の人を50人__治療した__。
"Once I __master__ French cooking, I plan to open my own restaurant.",フランス料理を__極めたら__、自分のレストランを開くつもりだ。
"He __pulled__ the door just as she pushed, and so she fell.",彼がドアを__引いた__瞬間に彼女がドアを押したので、彼女は転んだ。
"We live next to an __industrial__ __zone__, but there is very little pollution.",私たちは__工業____地区__の隣に住んでいるが、ほとんど公害はない。
"I'm __afraid__ I can't give you credit for the class, due to absences.",__残念だ__が君は欠席が多いのでこの講義の単位を与えることはできない。
I prefer larger print because of my __poor__ eyesight.,私は視力が__悪い__ので、大きな活字を好みます。
The forest fire __destroyed__ an area of 10 square miles.,山火事によって10平方マイルの面積__が焼失した__。
The __traditional__ role of housewife and mother has changed.,主婦と母親の__伝統的__な役割は変化した。
The boxer was of __medium__ height and weight.,そのボクサーは__中くらいの__身長と体重だった。
You can order __custom__ T-shirts at the shop around the corner.,角を曲がったところの店では、__特注__のTシャツを注文することができる。
Obesity is a __common__ cause of heart disease.,肥満は、心臓病の__よくある__原因である。
I found the plot of the movie __confusing__.,この映画の話は__わかりにくい__と思った。
"Before traveling, be sure to buy __comfortable__ walking shoes.",旅行の前に、必ず__快適な__ウォーキングシューズを買っておきなさい。
Live performances can be __disappointing__ if you are sitting far from the stage.,ステージから遠くに座ると、ライブ演奏は__期待外れ__になることがある。
The king's castle is a __major__ tourist destination.,王の城は__主要な__観光地となっている。
"He always has a __positive__ attitude, no matter what happens.",どのようなことがあっても、彼はいつも__前向きな__姿勢でいる。
The __whole__ school was amused by the principal's new hairstyle.,校長先生の新しい髪型に、学校__全体__が面白がった。
He is always __willing__ to put in the effort needed to succeed.,彼は成功するために常に__進んで__必要な努力をしている。
No one at the office was __aware__ of his health problem.,彼の健康問題について職場の誰も__気付かなかった__。
The meal wasn't __worth__ all the money we paid for it.,この食事は、私たちが払った金額ほどの__価値__はなかった。
I don't like the lyrics of many __contemporary__ songs.,__現代的__な曲の多くが嫌いだ。
The child was __delighted__ with her birthday gifts.,その子供は誕生日プレゼントをもらって__とても喜んだ__。
Global warming could produce great __environmental__ change in the near future.,地球温暖化は、近い将来大きな__環境の__変化を引き起こす可能性がある。
The books were aligned in no __particular__ order.,それらの本は__特定__の順序なしに並んでいた。
I am not __satisfied__ with the repair work on my car.,私は車にほどこされた修理に__満足して__いない。
The local buildings were made of stone and had __flat__ roofs.,この地域の建物は石造りで、屋根は__平ら__だった。
Our company made a __generous__ donation to the city festival.,私たちの会社は、市のお祭りに__多額の__寄付をした。
"My father is not well-educated, but I'm __proud__ of him.",父は十分な教育を受けていないが、私は彼を__誇りに思っている__。
